addItem,2020-01-06 22:55:12,main
addItem,2020-01-06 22:55:12,main
addItem,2020-01-06 22:55:12,main
addItem,2020-01-06 22:55:12,main
addItem,2020-01-06 22:55:12,main
addTransaction,2020-01-06 22:55:12,main
addItem,2020-01-06 22:55:12,main
addItem,2020-01-06 22:55:12,main
addItem,2020-01-06 22:55:12,main
addItem,2020-01-06 22:55:12,main
addItem,2020-01-06 22:55:12,main
addTransaction,2020-01-06 22:55:12,main
displayVoucherTransactions,2020-01-06 22:55:16,AWT-EventQueue-0
displayTransaction,2020-01-06 22:55:16,AWT-EventQueue-0
displayItems,2020-01-06 22:55:16,AWT-EventQueue-0
calcTotalPrice,2020-01-06 22:55:16,AWT-EventQueue-0
displayAllTransactions,2020-01-06 22:55:20,AWT-EventQueue-0
displayTransaction,2020-01-06 22:55:20,AWT-EventQueue-0
displayItems,2020-01-06 22:55:20,AWT-EventQueue-0
calcTotalPrice,2020-01-06 22:55:20,AWT-EventQueue-0
displayTransaction,2020-01-06 22:55:20,AWT-EventQueue-0
displayItems,2020-01-06 22:55:20,AWT-EventQueue-0
calcTotalPrice,2020-01-06 22:55:20,AWT-EventQueue-0
displayTransaction,2020-01-06 22:55:20,AWT-EventQueue-0
displayItems,2020-01-06 22:55:20,AWT-EventQueue-0
calcTotalPrice,2020-01-06 22:55:20,AWT-EventQueue-0
checkPayment,2020-01-06 22:55:24,AWT-EventQueue-0
calcTotalPrice,2020-01-06 22:55:24,AWT-EventQueue-0
checkPayment,2020-01-06 22:55:27,AWT-EventQueue-0
calcTotalPrice,2020-01-06 22:55:27,AWT-EventQueue-0
displayCardTransactions,2020-01-06 22:55:31,AWT-EventQueue-0
displayTransaction,2020-01-06 22:55:31,AWT-EventQueue-0
displayItems,2020-01-06 22:55:31,AWT-EventQueue-0
calcTotalPrice,2020-01-06 22:55:31,AWT-EventQueue-0
displayCashTransactions,2020-01-06 22:55:32,AWT-EventQueue-0
displayTransaction,2020-01-06 22:55:32,AWT-EventQueue-0
displayItems,2020-01-06 22:55:32,AWT-EventQueue-0
calcTotalPrice,2020-01-06 22:55:32,AWT-EventQueue-0
checkPayment,2020-01-06 22:55:36,AWT-EventQueue-0
calcTotalPrice,2020-01-06 22:55:37,AWT-EventQueue-0
